nombre;marca;cantidad;unidad;precio;tipo;
Leche Entera;Alquer¡a;6600;ml;16800;integer;
Leche Entera;De la Cuesta;6600;ml;11950;integer;
Leche Semidescremada;De la Cuesta;5400;ml;9600;integer;
Leche Entera;De la Cuesta;5400;ml;9000;integer;
Huevos(A);Oro;30;Unidad;8990;integer;
Huevos(A);Del Canasto;30;Unidad;8990;integer;
Huevos(AA);Del Canasto;12;Unidad;3300;integer;
Pan Sandwich Blanco;Bimbo;600;gr;4200;integer;
Pan Sandwich Blanco;Comapan;480;gr;3400;integer;
Pan Sandwich Blanco;De Ara;450;gr;1750;integer;
Pan Sandwich Blanco;De Ara;550;gr;2150;integer;
Pan Sandwich Artesanal;Bimbo;390;gr;4150;integer;
Pan Sandwich Integral;Bimbo;460;gr;4550;integer;
Pan Sandwich Integral Con Nueces;Bimbo;500;gr;5150;integer;
Pan Sandwich Artesanal;Bimbo;500;gr;3800;integer;
Cafe Molido;Tres Molinos;250;gr;6000;integer;
Cafe Molido Medio;Juan Valdez;250;gr;11800;integer;
Cafe Molido Fuerte;Juan Valdez;250;gr;11800;integer;
Cafe Molido Fuerte;Bicco;500;gr;6050;integer;
Cafe Molido Medio;Bicco;500;gr;6050;integer;
Cafe Instantaneo;Nescaf‚;170;gr;10700;integer;
Cafe Instantaneo;Colcaf‚;50;gr;3750;integer;
Chocolate de Mesa;La especial;500;gr;4650;integer;
Chocolate de Mesa;Danusia;500;gr;3950;integer;
Chocolate de Mesa;Cocuy;120;gr;2500;integer;
Galletas;PacoTaco;305;gr;2050;integer;
Galletas;PacoTaco;460;gr;3100;integer;
Galletas;Club Social;234;gr;3650;integer;
Galletas;Leche Noel;320;gr;2800;integer;
Galletas;Ducales;484;gr;5600;integer;
Carne;De Ara;1000;gr;19000;integer;
Carne Para Sudar;De Ara;500;gr;7500;integer;
Costilla de Res;De Ara;500;gr;6200;integer;
Pechuga de Pollo;Ricachon;2000;gr;8950;integer;
Lomos de Pollo;Bucanero;600;gr;11500;integer;
Jamon de Pollo;Pietr n;230;gr;7900;integer;
Papas de Pollo;Margarita;110;gr;2600;integer;
Pollo Apanado;Zen£;340;gr;10500;integer;
Pincho de Pollo;Calypso;300;gr;6650;integer;
Salmon;Ahumado Ancla Y Viento;1000;gr;10450;integer;
Tilapia;De Ara;500;gr;8990;integer;
Mojarra;De Ara;500;gr;8990;integer;
Milanesa de Res;De Ara;500;gr;6690;integer;
Filete de Pollo;De Ara;500;gr;9100;integer;
Muslo de Pollo;De Ara;600;gr;5490;integer;
Robalo;Antillana;350;gr;19700;integer;
Lomito de Atun;Van Camps;160;gr;4200;integer;
Lomito de Atun;Costa Blanca;170;gr;3300;integer;
Arroz Blanco;Castellana;1000;gr;5450;integer;
Arroz Blanco;Del Costal;1000;gr;3400;integer;
Arroz Blanco;Fibra Diana;1000;gr;3900;integer;
Arroz Blanco;Diana;1000;gr;4250;integer;
Arroz Blanco;Diana;3000;gr;8100;integer;
Arroz Blanco;Del Costal;3000;gr;8000;integer;
Arroz Blanco;Diana;12500;gr;32400;integer;
Arroz Blanco;Del Costal;12500;gr;30000;integer;
Arroz Integral;Castellana;1000;gr;5450;integer;
Arroz Oriental;La Pitadora;400;gr;6750;integer;
Aceite de Girasol;Olisol;900;gr;5200;integer;
Aceite de Girasol;Olisun;3000;gr;17000;integer;
Aceite de Oliva;Olisun;500;gr;8890;integer;
Sal;Refisal;800;gr;2400;integer;
Sal;Refisal;1000;gr;1000;integer;
Azucar Blanca;Incauca;2500;gr;7000;integer;
Azucar Blanca;Riopaila;1000;gr;2750;integer;
Azucar Blanca;Incauca;5000;gr;14000;integer;
Azucar Morena;Riopaila;1000;gr;2900;integer;
Queso Crema;Colanta;230;gr;3250;integer;
Queso Campesino;Colanta;250;gr;4200;integer;
Queso Parmesano;Alpina;1000;gr;6990;integer;
Harina de Trigo;La Oz;500;gr;900;integer;
Harina de Maiz;La Oz;1000;gr;2250;integer;
Harina de Maiz;Pan;1000;gr;2900;integer;
Harina(Arepa);Pan;1000;gr;5300;integer;
Spaghetti;Doria;250;gr;1490;integer;
Spaghetti;Majora;500;gr;4400;integer;
Spaghetti;Monticello;500;gr;5800;integer;
Spaghetti;Barilla;500;gr;5800;integer;
Frijol;Del Costal;500;gr;2850;integer;
Frijol;Del Costal;500;gr;2900;integer;
Frijol Con Tocino;Cheflisto;320;gr;2400;integer;
Frijol con Salchicha;Cheflisto;320;gr;2700;integer;
Lentejas;Del Costal;500;gr;1900;integer;
Vinagre Balsamico;La Coru¤a;2000;gr;4550;integer;
Vinagre Blanco;Bassi;500;gr;1400;integer;
Vinagre De Frutas;Bassi;500;gr;1400;integer;
Mantequilla;Colanta;250;gr;4650;integer;
Arvejas;Del Costal;500;gr;1100;integer;
Garbanzos;Del Costal;500;gr;2450;integer;
Jamon Cerdo;Zenu;450;gr;8750;integer;
Jamon Cerdo;Pietran;230;gr;7150;integer;
Jamon de Pollo;Pietran;230;gr;7900;integer;
Mortadelas;Zenu;450;gr;5950;integer;
Mortadelas;Kai;225;gr;1900;integer;
Manzana Roja;De Ara;500;gr;5800;integer;
Manzana Gala;De Ara;500;gr;5200;integer;
Manzana Verde;De Ara;500;gr;8600;integer;
