fila;nombre;marca;cantidad;unidad;precio;tipo
63;Aceite de Canola;Don Olio;2000;ml;12990;integer
64;Aceite de Canola;Don Olio;1000;ml;6690;integer
67;Aceite de Oliva;Castell de Ferro;500;ml;8990;integer
59;Aceite de Girasol;Don Olio;2000;ml;11500;integer
60;Aceite de Girasol;Don Olio;1000;ml;5850;integer
61;Aceite de Girasol;Gota de Oro;2000;ml;12490;integer
62;Aceite de Girasol;Gota de Oro;1000;ml;6390;integer
65;Aceite Vegetal;Gota de Oro;3000;ml;14490;integer
66;Aceite Vegetal;Gota de Oro;1000;ml;4990;integer
113;Aguacate Hass;D1;500;g;1700;integer
111;Ajo;D1;100;g;2100;integer
54;Arroz;El Estio;454;g;1450;integer
55;Arroz;El Estio;500;g;1650;integer
56;Arroz;El Estio;1000;g;3950;integer
57;Arroz;El Estio;2500;g;9900;integer
58;Arroz;Diana;1000;g;3650;integer
101;Arvejas;El Estio;500;g;1650;integer
89;Atun en Aceite;Carlo Forte;170;g;3690;integer
90;Atun en Aceite;El Navio;170;g;2190;integer
91;Atun en Aceite;Carlo Forte;160;g;4990;integer
92;Atun en Agua;Carlo Forte;170;g;3900;integer
70;Azucar Blanca;Riopaila;1000;g;2750;integer
71;Azucar Morena;Riopaila;1000;g;2800;integer
13;Cafe;Viejo Molino;500;g;6350;integer
14;Cafe;Viejo Molino;500;g;5950;integer
15;Cafe;Viejo Molino;125;g;1890;integer
16;Cafe;Viejo Molino;500;g;5950;integer
17;Cafe Instantaneo;Nescafe;85;g;7390;integer
20;Cafe Instantaneo;Viejo Molino;85;g;4290;integer
18;Cafe Instantaneo;Viejo Molino;85;g;4990;integer
19;Cafe Instantaneo;Viejo Molino;85;g;4690;integer
39;Carne Molida;Red Cut;500;g;5990;integer
38;Carne de Res para Asar;Red Cut;500;g;5990;integer
21;Chocolate de mesa;Casa Real;125;g;2150;integer
22;Chocolate de mesa;Casa Real;230;g;3750;integer
23;Chocolate de mesa;De la Taza;250;g;4290;integer
24;Chocolate de mesa;De la Taza;230;g;4350;integer
25;Chocolate de mesa;De la Taza;500;g;3990;integer
26;Chocolate de mesa;Corona;230;g;4350;integer
27;Chocolate de mesa;Sol;320;g;5100;integer
28;Chocolate de mesa;Cruz;250;g;5500;integer
29;Chocolate de mesa;Tesalia;125;g;2600;integer
49;Contramuslos de Pollo;D1;700;g;6600;integer
50;Contramuslos de Pollo;Brasset;700;g;5950;integer
51;Costilla de Cerdo Ahumada;Carnes del Sebastian;450;g;9690;integer
52;Costilla de Cerdo Ahumada;Big Bob;450;g;9990;integer
94;Frijol Blanco;El Estio;500;g;3000;integer
95;Frijol Rojo;El Estio;500;g;3450;integer
93;Frijol Rosado;El Estio;500;g;3400;integer
