row;nombre;marca;cantidad;unidad;precio;tipo
105;Aceite de girasol;Premier;2000;cm3;23590;integer
106;Aceite de girasol;Oleocali;3000;cm3;26990;integer
107;Aceite de girasol;Premier;1000;cm3;11590;integer
108;Aceite de girasol;Premier;3000;cm3;31990;integer
109;Aceite de oliva;Cuisine & Co;1000;cm3;39990;integer
110;Aceite de oliva;Olivetto;1000;cm3;47990;integer
111;Aceite de oliva;Farchioni;500;cm3;22590;integer
112;Aceite de oliva;Ybarra;1000;cm3;23990;integer
113;Aceite de oliva;Carbonell;500;cm3;21990;integer
114;Aceite de oliva;Ybarra;3000;cm3;57990;integer
115;Aceite de oliva;Rafael Salgado;200;cm3;10390;integer
116;Aceite de oliva;Ybarra;750;cm3;21990;integer
117;Aceite de oliva;Farchioni;500;cm3;29990;integer
118;Aceite de oliva;Premier;250;cm3;11590;integer
119;Aceite de oliva;Farchioni;750;cm3;30990;integer
120;Aceite de oliva;Rafael Salgado;250;cm3;12590;integer
121;Aceite de oliva;Cuisine & Co;500;cm3;22590;integer
122;Aceite de oliva;Olivetto;1000;cm3;49990;integer
85;Arroz;Diana;5000;g;18990;integer
86;Arroz;Diana;10000;g;37990;integer
87;Arroz;Supremo;5000;g;19990;integer
88;Arroz;Florhuila;5000;g;21590;integer
89;Arroz;Diana;1000;g;4390;integer
90;Arroz;Roa;5000;g;21590;integer
91;Arroz;Cuisine & Co;5000;g;18590;integer
92;Arroz;Florhuila;10000;g;41990;integer
93;Arroz;Supremo;1000;g;3990;integer
94;Arroz;Roa;3000;g;12990;integer
95;Arroz;Roa;10000;g;41990;integer
96;Arroz;Casanare;10000;g;41990;integer
97;Arroz;Florhuila;1000;g;4390;integer
98;Arroz;Casanare;5000;g;20990;integer
99;Arroz;Casanare;3000;g;12590;integer
100;Arroz;Supremo;3000;g;11990;integer
101;Arroz;Casanare;2500;g;8990;integer
102;Arroz;Diana;3000;g;11590;integer
103;Arroz;Roa;1000;g;4390;integer
104;Arroz;Florhuila;3000;g;12990;integer
191;Arveja;Cuisine & Co;500;g;8790;integer
192;Arveja;Maritza;500;g;1790;integer
193;Arveja;La Coruna;600;g;4190;integer
194;Arveja;Del Campo;300;g;2890;integer
195;Arveja;La Coruna;310;g;2790;integer
196;Arveja;Pesquera del mar;500;g;9190;integer
162;Atun en aceite de oliva;Van Camps;240;g;13990;integer
163;Atun en aceite de oliva;Cuisine & Co;160;g;6990;integer
164;Atun en aceite de oliva;Van Camps;160;g;8190;integer
165;Atun en agua;Van Camps;240;g;12590;integer
166;Atun en agua;Cuisine & Co;640;g;14990;integer
167;Atun en agua;Van Camps;640;g;23590;integer
